_id,COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
331,San Benito,2015–2016,Age groups,18–64 years,,,,Prevalence not available due to unreliable estimate
332,San Bernardino,2015–2016,Age groups,18–64 years,10.3,(6.5–14.2),,
333,San Diego,2015–2016,Age groups,18–64 years,7.3,(5.2–9.4),,
334,San Francisco,2015–2016,Age groups,18–64 years,9.5,(4.2–14.8),,
335,San Joaquin,2015–2016,Age groups,18–64 years,8.3,(2.4–14.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
336,San Luis Obispo,2015–2016,Age groups,18–64 years,5.4,(1.8–8.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
337,San Mateo,2015–2016,Age groups,18–64 years,10.4,(4.9–15.9),,
338,Santa Barbara,2015–2016,Age groups,18–64 years,3,(0.5–5.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
339,Santa Clara,2015–2016,Age groups,18–64 years,5.8,(3.3–8.3),,
340,Santa Cruz,2015–2016,Age groups,18–64 years,7.6,(3.9–11.3),,
341,Shasta,2015–2016,Age groups,18–64 years,10.1,(3.8–16.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
342,Sierra,2015–2016,Age groups,18–64 years,10.4,(0.2–20.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
343,Siskiyou,2015–2016,Age groups,18–64 years,10.4,(0.2–20.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
344,Solano,2015–2016,Age groups,18–64 years,16,(5.3–26.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
345,Sonoma,2015–2016,Age groups,18–64 years,9.1,(3.1–15.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
346,Stanislaus,2015–2016,Age groups,18–64 years,11.4,(5.0–17.8),,
347,Sutter,2015–2016,Age groups,18–64 years,6.6,(2.6–10.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
348,Tehama,2015–2016,Age groups,18–64 years,7.3,(1.5–13.1),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
349,Trinity,2015–2016,Age groups,18–64 years,10.4,(0.2–20.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
350,Tulare,2015–2016,Age groups,18–64 years,12.3,(4.7–19.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
351,Tuolumne,2015–2016,Age groups,18–64 years,9,(2.7–15.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
352,Ventura,2015–2016,Age groups,18–64 years,7,(2.6–11.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
353,Yolo,2015–2016,Age groups,18–64 years,,,,Prevalence not available due to unreliable estimate
354,Yuba,2015–2016,Age groups,18–64 years,14.3,(6.6–22.0),,
355,California,2015–2016,Age groups,65+ years,9.2,(8.1–10.4),,
356,Alameda,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
357,Alpine,2015–2016,Age groups,65+ years,13.3,(1.1–25.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
358,Amador,2015–2016,Age groups,65+ years,13.3,(1.1–25.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
359,Butte,2015–2016,Age groups,65+ years,11.6,(2.4–20.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
360,Calaveras,2015–2016,Age groups,65+ years,13.3,(1.1–25.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
361,Colusa,2015–2016,Age groups,65+ years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
362,Contra Costa,2015–2016,Age groups,65+ years,9.1,(3.1–15.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
363,Del Norte,2015–2016,Age groups,65+ years,8.7,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
364,El Dorado,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
365,Fresno,2015–2016,Age groups,65+ years,13.9,(5.1–22.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
366,Glenn,2015–2016,Age groups,65+ years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
367,Humboldt,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
368,Imperial,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
369,Inyo,2015–2016,Age groups,65+ years,13.3,(1.1–25.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
370,Kern,2015–2016,Age groups,65+ years,13.9,(2.9–24.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
371,Kings,2015–2016,Age groups,65+ years,10.9,(1.3–20.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
372,Lake,2015–2016,Age groups,65+ years,10.8,(1.6–20.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
373,Lassen,2015–2016,Age groups,65+ years,8.7,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
374,Los Angeles,2015–2016,Age groups,65+ years,8.4,(5.6–11.2),,
375,Madera,2015–2016,Age groups,65+ years,12.2,(4.0–20.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
376,Marin,2015–2016,Age groups,65+ years,9.5,(2.9–16.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
377,Mariposa,2015–2016,Age groups,65+ years,13.3,(1.1–25.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
378,Mendocino,2015–2016,Age groups,65+ years,5.6,(1.6–9.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
379,Merced,2015–2016,Age groups,65+ years,13.9,(2.5–25.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
380,Modoc,2015–2016,Age groups,65+ years,8.7,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
381,Mono,2015–2016,Age groups,65+ years,13.3,(1.1–25.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
382,Monterey,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
383,Napa,2015–2016,Age groups,65+ years,4.5,(0.4–8.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
384,Nevada,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
385,Orange,2015–2016,Age groups,65+ years,10.8,(4.9–16.8),,
386,Placer,2015–2016,Age groups,65+ years,6.7,(2.4–11.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
387,Plumas,2015–2016,Age groups,65+ years,8.7,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
388,Riverside,2015–2016,Age groups,65+ years,5.4,(1.8–9.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
389,Sacramento,2015–2016,Age groups,65+ years,8,(2.9–13.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
390,San Benito,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
391,San Bernardino,2015–2016,Age groups,65+ years,9.4,(2.6–16.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
392,San Diego,2015–2016,Age groups,65+ years,7,(4.1–9.9),,
393,San Francisco,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
394,San Joaquin,2015–2016,Age groups,65+ years,9.9,(0.9–19.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
395,San Luis Obispo,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
396,San Mateo,2015–2016,Age groups,65+ years,13.1,(0.9–25.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
397,Santa Barbara,2015–2016,Age groups,65+ years,6.6,(0.7–12.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
398,Santa Clara,2015–2016,Age groups,65+ years,8.3,(2.6–14.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
399,Santa Cruz,2015–2016,Age groups,65+ years,22.4,(6.4–38.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
400,Shasta,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
401,Sierra,2015–2016,Age groups,65+ years,8.7,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
402,Siskiyou,2015–2016,Age groups,65+ years,8.7,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
403,Solano,2015–2016,Age groups,65+ years,18.1,(2.5–33.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
404,Sonoma,2015–2016,Age groups,65+ years,6.4,(0.3–12.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
405,Stanislaus,2015–2016,Age groups,65+ years,20.6,(5.3–35.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
406,Sutter,2015–2016,Age groups,65+ years,13.2,(3.7–22.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
407,Tehama,2015–2016,Age groups,65+ years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
408,Trinity,2015–2016,Age groups,65+ years,8.7,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
409,Tulare,2015–2016,Age groups,65+ years,13.8,(5.5–22.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
410,Tuolumne,2015–2016,Age groups,65+ years,13.3,(1.1–25.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
411,Ventura,2015–2016,Age groups,65+ years,9.8,(3.5–16.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
412,Yolo,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
413,Yuba,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate
414,California,2017–2018,Total population,All ages,8.8,(8.2–9.4),,
415,Alameda,2017–2018,Total population,All ages,8.8,(5.3–12.2),,
416,Alpine,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
417,Amador,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
418,Butte,2017–2018,Total population,All ages,11,(4.1–17.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
419,Calaveras,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
420,Colusa,2017–2018,Total population,All ages,11.8,(4.9–18.6),"Colusa, Glenn, and Tehama counties combined combined for analysis",
421,Contra Costa,2017–2018,Total population,All ages,11.8,(7.9–15.7),,
422,Del Norte,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
423,El Dorado,2017–2018,Total population,All ages,6.7,(1.6–11.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
424,Fresno,2017–2018,Total population,All ages,13.3,(7.9–18.7),,
425,Glenn,2017–2018,Total population,All ages,11.8,(4.9–18.6),"Colusa, Glenn, and Tehama counties combined combined for analysis",
426,Humboldt,2017–2018,Total population,All ages,11.6,(4.1–19.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
427,Imperial,2017–2018,Total population,All ages,11.4,(3.0–19.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
428,Inyo,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
429,Kern,2017–2018,Total population,All ages,9.9,(5.4–14.5),,
430,Kings,2017–2018,Total population,All ages,10.3,(4.1–16.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
431,Lake,2017–2018,Total population,All ages,9.6,(3.8–15.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
432,Lassen,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
433,Los Angeles,2017–2018,Total population,All ages,7.9,(6.5–9.4),,
434,Madera,2017–2018,Total population,All ages,11.8,(3.6–20.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
435,Marin,2017–2018,Total population,All ages,6.4,(2.2–10.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
436,Mariposa,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
437,Mendocino,2017–2018,Total population,All ages,5.3,(1.2–9.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
438,Merced,2017–2018,Total population,All ages,9.8,(2.6–17.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
439,Modoc,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
440,Mono,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
441,Monterey,2017–2018,Total population,All ages,5.3,(2.5–8.2),,
442,Napa,2017–2018,Total population,All ages,13.8,(3.4–24.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
443,Nevada,2017–2018,Total population,All ages,9.4,(2.3–16.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
444,Orange,2017–2018,Total population,All ages,5.7,(3.1–8.3),,
445,Placer,2017–2018,Total population,All ages,7.9,(3.4–12.4),,
446,Plumas,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
447,Riverside,2017–2018,Total population,All ages,9.1,(6.5–11.7),,
448,Sacramento,2017–2018,Total population,All ages,11.4,(7.9–14.9),,
449,San Benito,2017–2018,Total population,All ages,,,,Prevalence not available due to unreliable estimate
450,San Bernardino,2017–2018,Total population,All ages,9.6,(6.1–13.1),,
451,San Diego,2017–2018,Total population,All ages,8.5,(7.0–10.1),,
452,San Francisco,2017–2018,Total population,All ages,6.8,(3.3–10.4),,
453,San Joaquin,2017–2018,Total population,All ages,12.6,(6.8–18.4),,
454,San Luis Obispo,2017–2018,Total population,All ages,5.4,(2.2–8.6),,
455,San Mateo,2017–2018,Total population,All ages,9.5,(4.7–14.2),,
456,Santa Barbara,2017–2018,Total population,All ages,,,,Prevalence not available due to unreliable estimate
457,Santa Clara,2017–2018,Total population,All ages,9.5,(6.5–12.4),,
458,Santa Cruz,2017–2018,Total population,All ages,8.3,(4.6–12.1),,
459,Shasta,2017–2018,Total population,All ages,6.9,(3.0–10.8),,
460,Sierra,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
461,Siskiyou,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
462,Solano,2017–2018,Total population,All ages,12.5,(6.1–18.9),,
463,Sonoma,2017–2018,Total population,All ages,12.1,(5.5–18.6),,
464,Stanislaus,2017–2018,Total population,All ages,8.1,(3.3–12.9),,
465,Sutter,2017–2018,Total population,All ages,16,(7.6–24.4),,
466,Tehama,2017–2018,Total population,All ages,11.8,(4.9–18.6),"Colusa, Glenn, and Tehama counties combined combined for analysis",
467,Trinity,2017–2018,Total population,All ages,13.2,(5.0–21.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
468,Tulare,2017–2018,Total population,All ages,9.5,(2.3–16.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
469,Tuolumne,2017–2018,Total population,All ages,13.6,(4.5–22.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
470,Ventura,2017–2018,Total population,All ages,6.6,(3.8–9.5),,
471,Yolo,2017–2018,Total population,All ages,11.3,(4.2–18.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
472,Yuba,2017–2018,Total population,All ages,13.8,(6.8–20.8),,
473,California,2017–2018,Child vs. adult,0–17 years,8,(6.4–9.6),,
474,Alameda,2017–2018,Child vs. adult,0–17 years,9.5,(1.5–17.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
475,Alpine,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
476,Amador,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
477,Butte,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
478,Calaveras,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
479,Colusa,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
480,Contra Costa,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
481,Del Norte,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
482,El Dorado,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
483,Fresno,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
484,Glenn,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
485,Humboldt,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
486,Imperial,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
487,Inyo,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
488,Kern,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
489,Kings,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
490,Lake,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
491,Lassen,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
492,Los Angeles,2017–2018,Child vs. adult,0–17 years,7.4,(4.2–10.5),,
493,Madera,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
494,Marin,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
495,Mariposa,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
496,Mendocino,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
497,Merced,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
498,Modoc,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
499,Mono,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
500,Monterey,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
501,Napa,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
502,Nevada,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
503,Orange,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
504,Placer,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
505,Plumas,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
506,Riverside,2017–2018,Child vs. adult,0–17 years,10.6,(3.4–17.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
507,Sacramento,2017–2018,Child vs. adult,0–17 years,6.1,(0.2–12.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
508,San Benito,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
509,San Bernardino,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
510,San Diego,2017–2018,Child vs. adult,0–17 years,6.7,(2.6–10.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
511,San Francisco,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
512,San Joaquin,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
513,San Luis Obispo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
514,San Mateo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
515,Santa Barbara,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
516,Santa Clara,2017–2018,Child vs. adult,0–17 years,12.1,(2.6–21.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
517,Santa Cruz,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
518,Shasta,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
519,Sierra,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
520,Siskiyou,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
521,Solano,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
522,Sonoma,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
523,Stanislaus,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
524,Sutter,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
525,Tehama,2017–2018,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
526,Trinity,2017–2018,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
527,Tulare,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
528,Tuolumne,2017–2018,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
529,Ventura,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
530,Yolo,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
531,Yuba,2017–2018,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
532,California,2017–2018,Child vs. adult,18+ years,9.1,(8.4–9.7),,
533,Alameda,2017–2018,Child vs. adult,18+ years,8.6,(5.5–11.6),,
